mid_prices,bid_prices,ask_prices,reservation_prices,inventory,cash,wealth
100.0,99.15461478862429,100.84538521137571,100.0,0,0.0,0.0
99.8464686477085,99.0020834363328,100.69085385908421,99.8464686477085,-1,100.69085385908421,0.8443852113757089
99.98751459340146,99.14412938202574,100.83089980477718,99.98751459340146,-1,100.69085385908421,0.7033392656827573
100.02753379638196,99.18514858500625,100.86991900775767,100.02753379638196,-1,100.69085385908421,0.6633200627022546
99.81451155504658,98.97312634367087,100.65589676642229,99.81451155504658,0,1.717727515413344,1.717727515413344
99.73268512269394,98.89229991131822,100.57307033406966,99.73268512269394,0,1.717727515413344,1.717727515413344
99.96623351751006,99.12684830613435,100.80561872888578,99.96623351751006,1,-97.409120790721,2.5571127267890574
99.62304924775648,98.78466403638078,100.46143445913219,99.62304924775648,1,-97.409120790721,2.213928457035479
99.56239184207634,98.72500663070062,100.39977705345206,99.56239184207634,1,-97.409120790721,2.1532710513553326
99.74142226469246,98.90503705331675,100.57780747606817,99.74142226469246,1,-97.409120790721,2.332301473971455
99.61884666149845,98.78346145012274,100.45423187287416,99.61884666149845,1,-97.409120790721,2.209725870777447
99.52283766120533,98.68845244982961,100.35722287258105,99.52283766120533,2,-196.09757324055062,2.9481020818600427
99.50944379037044,98.67605857899473,100.34282900174615,99.50944379037044,2,-196.09757324055062,2.921314340190264
99.7203581339752,98.88797292259949,100.5527433453509,99.7203581339752,3,-294.9855461631501,4.175528238775485
99.63000374710133,98.79861853572561,100.46138895847704,99.63000374710133,2,-194.52415720467306,4.735850289529594
99.56721521622327,98.73683000484756,100.39760042759899,99.56721521622327,2,-194.52415720467306,4.61027322777349
99.5057886697419,98.6764034583662,100.33517388111761,99.5057886697419,2,-194.52415720467306,4.487420134810748
99.81775429380562,98.9893690824299,100.64613950518134,99.81775429380562,3,-293.513526287103,5.939736594313899
100.12701254830918,99.29962733693347,100.9543977596849,100.12701254830918,3,-293.513526287103,6.867511357824583
100.26900721228257,99.44262200090687,101.09539242365828,100.26900721228257,3,-293.513526287103,7.293495349744717
100.32362221661428,99.49823700523856,101.14900742799,100.32362221661428,4,-393.0117632923416,8.282725574115545
100.42790188066431,99.6035166692886,101.25228709204002,100.42790188066431,3,-291.75947620030155,9.524229441691375
100.63872322587179,99.81533801449608,101.4621084372475,100.63872322587179,3,-291.75947620030155,10.156693477313809
100.50637633098951,99.6839911196138,101.32876154236523,100.50637633098951,2,-190.43071465793633,10.582038004042687
100.67266366920582,99.8512784578301,101.49404888058153,100.67266366920582,1,-88.9366657773548,11.735997891851014
100.495338164613,99.6749529532373,101.31572337598871,100.495338164613,2,-188.6116187305921,12.379057598633892
100.40514648219366,99.58576127081794,101.22453169356938,100.40514648219366,3,-288.19738000141007,13.018059445170877
100.53343052923364,99.71504531785793,101.35181574060935,100.53343052923364,3,-288.19738000141007,13.402911586290827
100.33138456697762,99.51399935560191,101.14876977835333,100.33138456697762,3,-288.19738000141007,12.796773699522817
100.31157585860211,99.4951906472264,101.12796106997783,100.31157585860211,3,-288.19738000141007,12.737347574396267
100.18970531248549,99.37432010110977,101.0050905238612,100.18970531248549,3,-288.19738000141007,12.371735936046377
100.15355527442452,99.33917006304881,100.96794048580023,100.15355527442452,4,-387.5365500644589,13.077671033239199
99.75777500757931,98.9443897962036,100.57116021895503,99.75777500757931,4,-387.5365500644589,11.494549965858369
99.50724239332024,98.69485718194453,100.31962760469595,99.50724239332024,5,-486.2314072464034,11.304804720197751
99.40826480560378,98.59687959422807,100.21965001697949,99.40826480560378,6,-584.8282868406314,11.62130199299122
99.53942780056224,98.72904258918652,100.34981301193795,99.53942780056224,6,-583.20751641788,14.029050385493406
99.51487200681085,98.70548679543514,100.32425721818656,99.51487200681085,6,-583.20751641788,13.881715622985098
99.5152744800967,98.706889268721,100.32365969147241,99.5152744800967,6,-583.20751641788,13.884130462700227
99.6126038692941,98.80521865791839,100.41998908066982,99.6126038692941,6,-583.20751641788,14.468106797884616
99.48821864680576,98.68183343543005,100.29460385818147,99.48821864680576,6,-583.20751641788,13.72179546295456
99.52832960760455,98.72294439622884,100.33371481898025,99.52832960760455,6,-583.20751641788,13.962461227747326
99.41443358235159,98.61004837097587,100.21881879372731,99.41443358235159,6,-583.20751641788,13.279085076229535
99.17010421936322,98.36671900798751,99.97348943073894,99.17010421936322,6,-583.20751641788,11.813108898299333
99.1148226403775,98.31243742900179,99.9172078517532,99.1148226403775,6,-583.20751641788,11.481419424384967
99.19597104365575,98.39458583228003,99.99735625503146,99.19597104365575,7,-681.60210225016,12.769695055430248
99.24385476645524,98.44346955507953,100.04423997783096,99.24385476645524,6,-581.557862272329,13.905266326402511
99.24218168188109,98.44279647050539,100.0415668932568,99.24218168188109,7,-680.0006587428344,14.694613030333244
99.58051322240503,98.78212801102931,100.37889843378075,99.58051322240503,7,-680.0006587428344,17.06293381400087
99.63890782012278,98.84152260874707,100.4362930314985,99.63890782012278,8,-778.8421813515814,18.269081209400838
99.77732199348073,98.98093678210502,100.57370720485643,99.77732199348073,8,-778.8421813515814,19.37639459626439
100.09384325986461,99.2984580484889,100.88922847124033,100.09384325986461,8,-778.8421813515814,21.908564727335488
99.91083195837635,99.11644674700064,100.70521716975206,99.91083195837635,8,-778.8421813515814,20.444474315429375
99.76392512084584,98.97053990947013,100.55731033222155,99.76392512084584,8,-778.8421813515814,19.269219615185307
100.0105232686103,99.21813805723458,100.80290847998602,100.0105232686103,8,-778.8421813515814,21.24200479730098
