strategy,sigma,gamma,k,spread,mean_profit,std_profit,mean_q,std_q
Inventory,0.1,0.05,1.0,1.951857816777248,102.84007320111894,8.968650714093378,0.314,8.927435415790086
Inventory,0.1,0.05,1.5,1.3118441629196527,68.55033385913997,5.669363837858247,0.159,8.684419274662995
Inventory,0.1,0.05,2.0,0.9879557536148678,51.46782951422115,4.294534968641964,0.022,9.003364736395865
Inventory,0.1,0.1,1.0,1.9067060960865083,102.69229027616905,8.319933621873037,-0.344,9.158905477705813
Inventory,0.1,0.1,1.5,1.2912729227514308,68.91330467567933,5.682136853224598,-0.028,9.101651281831009
Inventory,0.1,0.1,2.0,0.9763057833886307,51.33768526398338,4.348595456296603,-0.628,8.72615389285347
Inventory,0.1,0.5,1.0,1.6243729324326246,101.12629053892333,7.654989226736194,0.066,9.142276807514921
Inventory,0.1,0.5,1.5,1.1532407898071155,68.19415814314331,5.336232435998135,-0.18,8.75992787278162
Inventory,0.1,0.5,2.0,0.8950867052568517,51.200492595691145,4.077674660599493,0.265,9.000988434210589
Inventory,0.2,0.05,1.0,1.9526115667772614,103.0290015098199,8.203169547987148,0.191,8.809433870863957
Inventory,0.2,0.05,1.5,1.3125979129196441,68.35931108177348,5.95872563822292,0.092,8.790723110917146
Inventory,0.2,0.05,2.0,0.9887095036148414,51.43979692596993,4.491317380784031,-0.021,8.679855926160231
Inventory,0.2,0.1,1.0,1.908213596086458,103.30087612247782,8.693275637493464,-0.191,8.979262004538354
Inventory,0.2,0.1,1.5,1.2927804227514093,68.74294747475442,5.89669079049119,0.335,9.115364220088239
Inventory,0.2,0.1,2.0,0.9778132833886294,51.48739883890134,4.474534939357228,0.319,8.467404321038174
Inventory,0.2,0.5,1.0,1.6319104324326756,101.18109817614156,7.51658464315416,-0.338,9.137683144717442
Inventory,0.2,0.5,1.5,1.160778289807113,67.9416244223192,5.483149029922908,0.128,9.253282619656618
Inventory,0.2,0.5,2.0,0.9026242052568462,51.109941115877135,4.276839135638433,-0.377,9.058638414791151
Inventory,0.3,0.05,1.0,1.9538678167773318,103.32275085630133,8.744117657435906,-0.528,8.776573605014901
Inventory,0.3,0.05,1.5,1.313854162919615,68.61166255015895,6.2016422454479985,0.584,9.297708932387128
Inventory,0.3,0.05,2.0,0.9899657536148265,51.192045046046275,4.7139082475346425,0.021,9.085103086817348
Inventory,0.3,0.1,1.0,1.9107260960865344,102.75313769658752,8.401392409159127,-0.541,8.426346914429901
Inventory,0.3,0.1,1.5,1.29529292275143,68.20428098494571,5.860470560898858,0.142,8.7305245007421
Inventory,0.3,0.1,2.0,0.980325783388623,51.33352498615849,4.627485332390899,-0.278,8.661277834923306
Inventory,0.3,0.5,1.0,1.6444729324326306,101.04211791185323,7.673563565955268,-0.019,9.259502004826036
Inventory,0.3,0.5,1.5,1.1733407898070958,67.64440326904698,5.636030353031193,0.015,8.910228233169292
Inventory,0.3,0.5,2.0,0.9151867052568229,51.13029132997697,4.6287784521069435,-0.054,9.040509654594414
