,mid_prices,bid_prices,ask_prices,reservation_prices,inventory,cash,wealth,pnl,strategy
0,100.09109220872676,99.48008172081066,100.70210269664287,100.09109220872676,0,54.573648041789525,54.573648041789525,54.573648041789525,Avellaneda (ABM)
1,100.25096310015589,99.64205261223978,100.86407358807199,100.25306310015588,-7,750.7378290244585,48.98108732336732,48.98108732336732,Avellaneda (ABM)
2,99.81405133667508,99.20484084875898,100.42686182459119,99.81585133667508,-7,749.5810416392173,50.88268228249183,50.88268228249183,Avellaneda (ABM)
3,100.15738532262584,99.54607483470974,100.76809581054195,100.15708532262585,1,-56.822350871299065,43.33503445132678,43.33503445132678,Avellaneda (ABM)
4,100.26160553791817,99.65299505000206,100.87501602583427,100.26400553791817,-8,860.0000918407881,57.907247537442686,57.907247537442686,Avellaneda (ABM)
5,100.00661352936302,99.39110304144693,100.61312401727913,100.00211352936303,15,-1444.4421558005306,55.657047139914766,55.657047139914766,Avellaneda (ABM)
6,100.18757293661653,99.57236244870043,100.79438342453264,100.18337293661654,14,-1347.1462755666942,55.47974554593725,55.47974554593725,Avellaneda (ABM)
7,99.93488956251723,99.32387907460112,100.54590005043333,99.93488956251723,-1,148.485464273281,48.55057471076377,48.55057471076377,Avellaneda (ABM)
8,99.9340530694899,99.3170425815738,100.53906355740601,99.9280530694899,20,-1945.2485272172003,53.4325341725978,53.4325341725978,Avellaneda (ABM)
9,100.2103039775355,99.60079348961939,100.8228144654516,100.2118039775355,-6,648.710988671276,47.44916480606298,47.44916480606298,Avellaneda (ABM)
10,100.13442234025412,99.52371185233801,100.74573282817022,100.13472234025411,-1,154.4585755398789,54.324153199624774,54.324153199624774,Avellaneda (ABM)
11,100.01034045587681,99.3987299679607,100.62075094379291,100.00974045587681,2,-154.39630394777157,45.62437696398206,45.62437696398206,Avellaneda (ABM)
12,99.4625412459458,98.8497307580297,100.0717517338619,99.4607412459458,6,-554.1790868328487,42.596160642826135,42.596160642826135,Avellaneda (ABM)
13,99.82539099550387,99.21678050758776,100.43880148341997,99.82779099550386,-8,854.0303423343221,55.42721437029115,55.42721437029115,Avellaneda (ABM)
14,99.38567683736393,98.77496634944782,99.99698732528003,99.38597683736393,-1,152.2380459068046,52.852369069440655,52.852369069440655,Avellaneda (ABM)
15,99.90934222000477,99.30013173208867,100.52215270792088,99.91114222000478,-7,758.756401462101,59.39100592206762,59.39100592206762,Avellaneda (ABM)
16,100.09702572966724,99.48451524175114,100.70653621758335,100.09552572966724,5,-445.4537992699328,55.03132937840337,55.03132937840337,Avellaneda (ABM)
17,100.00269582307904,99.39078533516293,100.61280631099514,100.00179582307904,4,-344.94528896335817,55.06549432895798,55.06549432895798,Avellaneda (ABM)
18,100.18320722972702,99.5796967418109,100.80171771764311,100.19070722972701,-25,2568.5518810141875,63.971700271012196,63.971700271012196,Avellaneda (ABM)
19,99.83622872825774,99.22521824034163,100.44723921617384,99.83622872825774,0,47.92863882052163,47.92863882052163,47.92863882052163,Avellaneda (ABM)
20,99.9959355205466,99.38132503263049,100.6033460084627,99.99233552054659,12,-1137.6111762472788,62.34004999928038,62.34004999928038,Avellaneda (ABM)
21,99.98583323706033,99.37122274914422,100.59324372497643,99.98223323706033,13,-1252.924950237105,46.89088184467937,46.89088184467937,Avellaneda (ABM)
22,100.27519321988915,99.66628273197304,100.88830370780525,100.27729321988915,-7,762.9581014650373,61.031748925813304,61.031748925813304,Avellaneda (ABM)
23,99.96625182609334,99.35704133817724,100.57906231400945,99.96805182609334,-5,557.1713993624525,57.34014023198574,57.34014023198574,Avellaneda (ABM)
24,100.07996796360466,99.47075747568856,100.69277845152077,100.08176796360466,-6,642.4045454072309,41.924737625602916,41.924737625602916,Avellaneda (ABM)
25,99.88461537204941,99.26910488413331,100.49112585996552,99.88011537204942,15,-1440.8649267394221,57.404303841319006,57.404303841319006,Avellaneda (ABM)
26,100.0299955758552,99.41838508793909,100.6404060637713,100.02939557585519,2,-152.72107945640454,47.33891169530585,47.33891169530585,Avellaneda (ABM)
27,100.0805280731981,99.46651758528199,100.6885385611142,100.0775280731981,10,-943.4383570526804,57.3669236793005,57.3669236793005,Avellaneda (ABM)
28,99.96910577886104,99.36079529094494,100.58281626677714,99.97180577886104,-9,956.8076555616356,57.08570355188624,57.08570355188624,Avellaneda (ABM)
29,99.81410085623243,99.20069036831633,100.42271134414854,99.81170085623243,8,-750.8092784251861,47.70352842467332,47.70352842467332,Avellaneda (ABM)
30,99.96196342381909,99.35005293590298,100.57207391173519,99.96106342381908,2,-147.97895945495372,51.94496739268445,51.94496739268445,Avellaneda (ABM)
31,99.7475568747936,99.1356463868775,100.3576673627097,99.7466568747936,3,-248.08579932097436,51.15687130340646,51.15687130340646,Avellaneda (ABM)
32,100.27965611024605,99.67104562232994,100.89306659816215,100.28205611024605,-8,849.70315346546,47.46590458349158,47.46590458349158,Avellaneda (ABM)
33,99.89387727994011,99.28046679202401,100.50248776785622,99.89147727994012,9,-846.8538431706368,52.191052348824314,52.191052348824314,Avellaneda (ABM)
34,100.08349200020034,99.46798151228424,100.69000248811645,100.07899200020034,15,-1444.9901397400427,56.26224026296245,56.26224026296245,Avellaneda (ABM)
35,100.04626903544528,99.43315854752917,100.65517952336138,100.04416903544528,7,-650.42424205151,49.899641196607035,49.899641196607035,Avellaneda (ABM)
36,99.86041951004312,99.25060902212701,100.47262999795922,99.86161951004311,-3,343.77147181118085,44.19021328105151,44.19021328105151,Avellaneda (ABM)
